frequency_hz,Z_mag_ohm,Z_phase_deg,Coherence
20.5078125,6.725907471522173,7.772743223759752,0.9982932030205033
23.4375,6.762767914327362,8.911980108089711,0.9994028133469626
26.3671875,6.825631341997158,10.049950581034071,0.9996846756338087
29.296875,6.893258330874367,11.195533429072798,0.9997413135424995
32.2265625,6.972871954189359,12.482413152346995,0.9997405985337399
35.15625,7.092097717316006,13.90635984012114,0.999753106281213
38.0859375,7.2236939768380175,15.325618406150598,0.9997176364417234
41.015625,7.404684176720499,16.794236157145765,0.9996725395222199
43.9453125,7.612007154693095,18.35194198641039,0.9995389446464882
46.875,7.951460984013974,19.874314923179636,0.9921455016835673
49.8046875,8.41217911498035,21.589381504341628,0.9743367199155758
52.734375,8.81709818648546,22.959839495856123,0.9922331360014531
55.6640625,9.443789630268128,24.206789810902666,0.9987874662436034
58.59375,10.306114947797468,24.440370892514977,0.9983750017372237
61.5234375,11.359880359928654,23.483877346052708,0.9979771630258772
64.453125,12.8017498118261,20.832850576505166,0.9972272295520062
67.3828125,14.282540288659654,15.740529705165065,0.996912145430468
70.3125,15.38824517102213,7.497711339529416,0.9963588917499463
73.2421875,15.622774457560194,-1.719694517097101,0.9968309000418116
76.171875,14.997729309475071,-10.39843794088097,0.9972396728616933
79.1015625,13.762568446066117,-17.101711570624776,0.9975360365695509
82.03125,12.496677729689774,-21.03786903265155,0.998255117354107
84.9609375,11.301425813170159,-23.09969210641415,0.9985434807712626
87.890625,10.39759181567287,-23.658953163183334,0.999160399834842
90.8203125,9.716852333132248,-23.498939212740055,0.999085900183464
93.75,9.14983648746995,-22.73481850312124,0.9992908786064973
96.6796875,8.752864453462532,-21.765925982091346,0.999265438409301
99.609375,8.432508175736878,-20.805458130886453,0.9990542687127486
102.5390625,8.175199446606502,-19.903819669793304,0.9992368891711824
105.46875,7.9673110308968385,-19.023934419162853,0.9995107387952903
108.3984375,7.800508152432991,-18.029562166422235,0.9995544208553998
111.328125,7.647394583372288,-17.129165184616408,0.9996653097644125
114.2578125,7.522939728430874,-16.304758683807183,0.9997431190356751
117.1875,7.422926900192587,-15.425527515773426,0.9998105597360061
120.1171875,7.326624086285197,-14.6560232986292,0.9995095432969867
123.046875,7.249691642079822,-13.966296707835074,0.9990875345410984
