frequency_hz,Z_mag_ohm,Z_phase_deg,Coherence
20.5078125,5.767224339038542,7.989706278038231,0.9981562316737665
21.97265625,5.732584022452106,8.72714157679559,0.9975016602056969
23.4375,5.764366400657918,9.82671680874207,0.9962354889928354
24.90234375,5.798473575327614,10.45463706162139,0.9968114174537951
26.3671875,5.799450821271859,10.366102651997421,0.9979398683277458
27.83203125,5.829910006629693,10.956557544915167,0.9984730446091695
29.296875,5.867130419206805,11.86883733775786,0.9988834750476797
30.76171875,5.965805958804025,12.327425051110565,0.9991554870811741
32.2265625,6.005718124027616,13.195817071052314,0.9992248089438052
33.69140625,6.042814910665898,14.081659527740577,0.9993034795230441
35.15625,6.098177005617985,15.038510408313229,0.9992780997527818
36.62109375,6.164193515595236,15.679031796706123,0.999276060773532
38.0859375,6.253220504274198,16.445880830603794,0.9993334126801872
39.55078125,6.300105360891016,17.032321005159957,0.9993722826957047
41.015625,6.3482232499753115,17.973671814113956,0.9992205521007359
42.48046875,6.4623718500804985,19.07808453365846,0.9989161733068036
43.9453125,6.588151733053921,19.886043622335492,0.9988790795075658
45.41015625,6.701541059537246,20.35578811956303,0.9984711897643899
46.875,6.879526381221003,21.460753069811183,0.9988188362240973
48.33984375,6.975951930089894,22.347016764442145,0.9985604716576816
49.8046875,7.105437276658147,21.46696547597658,0.9953088854491072
51.26953125,7.414470718664223,23.15752515086831,0.9967692142918262
52.734375,7.664397796452601,24.9520315964273,0.9988582964155615
54.19921875,7.937534344699797,25.35889413039851,0.999051346565556
55.6640625,8.251866207208868,25.78179847156864,0.9989981284330235
57.12890625,8.622119917547144,26.056834834488587,0.9989127665148761
58.59375,9.01485715941455,26.28895940979123,0.9985800983162685
60.05859375,9.481257261288123,26.490971118016954,0.9980223262896766
61.5234375,10.106531289006416,25.60343114180905,0.997369537501136
62.98828125,10.663765421417352,24.276789159019334,0.9977281323860873
64.453125,11.429484783853189,22.77003189251903,0.9978951849870716
65.91796875,12.184100727631064,20.43083416477656,0.9982032298560006
67.3828125,12.890825050211298,17.353949077362465,0.9984564134032834
68.84765625,13.451096813873859,13.29100417826733,0.9982342291017618
70.3125,13.847446459724532,8.00821457900214,0.9984730577891352
71.77734375,14.146000996854802,2.5926720160939514,0.9988535710577828
